JobName;Odate;OrderId;Status;StartTime;EndTime;AverageRuntime;Deleted;RerunCounter
EAICTL_J11TRT_04_CTL01_Q;161201;25we0;Ended OK;20161202080809;20161202080813;000004;0;1
EAIEAI_E11TEC_04_WRK01_Q;161201;25wgm;Ended OK;20161201180000;20161201180001;000001;0;1
EAIEAI_J11TEC_04_SUB01_Q;161201;25wry;Ended OK;20161201214401;20161201214401;000001;0;1
ECAECA_J11TRT_04_WRK01_Q;161201;25w5f;Ended OK;20161202003000;20161202003153;000147;0;1
ECAECA_J12TRT_04_WRK01_Q;161201;25wgt;Wait Condition;20161202005037;20161202011921;000000;0;24
ECAECA_J12TRT_04_WRK02_Q;161201;25wgu;Executing;20161202094159;;000000;0;14
ECAECA_J12TRT_04_WRK02_Q;161130;25u8e;Ended Not OK;20161201131020;20161201133944;000000;0;22
ECAECA_J12TRT_04_WRK03_Q;161201;25wgv;Wait Condition;20161202011242;20161202013945;000000;0;25
ECAECA_J12TRT_04_WRK04_Q;161130;25u8g;Ended OK;20161201131818;20161201134717;002732;0;22
ECAECA_J12TRT_04_WRK04_Q;161201;25wgw;Executing;20161202094354;;000000;0;14
ECAECA_J13TRT_04_WRK01_Q;161201;25wgx;Wait Condition;20161202005500;20161202005504;000016;0;35
ECAECA_J13TRT_04_WRK02_Q;161201;25wgy;Wait Condition;20161202095500;20161202095510;000016;0;20
ECAECA_J13TRT_04_WRK03_Q;161201;25wgz;Wait Condition;20161202010500;20161202010504;000016;0;35
ECAECA_J13TRT_04_WRK04_Q;161201;25wh0;Wait Condition;20161202094500;20161202094542;000016;0;19
ECOALA_J11GEN_06_EXP01_Q;161201;25xv1;Ended OK;20161202050004;20161202050011;000000;0;1
ECOALA_J11GEN_06_HIS01_Q;161201;25xv2;Ended OK;20161202050015;20161202050017;000001;0;1
ECOALA_J11GEN_06_MOV01_Q;161201;25xv3;Ended OK;20161202050012;20161202050014;000001;0;1
ECOALA_J11INT_05_FLW01_Q;161129;25tk3;Ended Not OK;20161129212220;20161129222225;000000;0;1
ECOALA_J11INT_05_FLW01_Q;161130;25vnh;Ended Not OK;20161130210447;20161130220451;000000;0;1
ECOALA_J11INT_05_FLW01_Q;161201;25xxm;Ended Not OK;20161201210418;20161201220423;000000;0;1
ECOALA_J11INT_05_HIS01_Q;161129;25tk1;Wait Condition;;;000000;0;0
ECOALA_J11INT_05_HIS01_Q;161130;25vnf;Wait Condition;;;000000;0;0
ECOALA_J11INT_05_HIS01_Q;161201;25xxk;Wait Condition;;;000000;0;0
ECOALA_J11INT_05_IMP01_Q;161129;25tk0;Wait Condition;;;000000;0;0
ECOALA_J11INT_05_IMP01_Q;161130;25vne;Wait Condition;;;000000;0;0
ECOALA_J11INT_05_IMP01_Q;161201;25xxj;Wait Condition;;;000000;0;0
ECOALA_J11INT_05_MOV01_Q;161129;25tjz;Wait Condition;;;000000;0;0
ECOALA_J11INT_05_MOV01_Q;161130;25vnd;Wait Condition;;;000000;0;0
ECOALA_J11INT_05_MOV01_Q;161201;25xxi;Wait Condition;;;000000;0;0
ECOALA_J11INT_05_SUB02_Q;161201;25xxl;Ended OK;20161201192505;20161201192505;000001;0;1
ECOANA_J11INT_05_00000_Q;161201;25xt7;Ended OK;20161201210420;20161201210420;000001;0;1
ECOANA_J11INT_05_DEL01_Q;161201;25xv7;Ended OK;20161201220525;20161201220527;000001;0;1
ECOANA_J11INT_05_DEL02_Q;161201;25xv9;Ended OK;20161201220522;20161201220524;000001;0;1
ECOANA_J11INT_05_FLG01_Q;161201;25xvb;Ended OK;20161201220522;20161201220522;000001;0;1
ECOANA_J11INT_05_HIS01_Q;161201;25xv8;Ended OK;20161201220522;20161201220524;000002;0;1
ECOANA_J11INT_05_HIS02_Q;161201;25xva;Ended OK;20161201220522;20161201220524;000002;0;1
ECOANA_J11INT_05_IMP01_Q;161201;25xv6;Ended OK;20161201220458;20161201220520;000000;0;1
ECOANA_J11INT_05_LIM01_Q;161129;25tht;Wait Condition;;;000001;0;0
ECOANA_J11INT_05_LIM01_Q;161130;25vl7;Wait Condition;;;000001;0;0
ECOANA_J11INT_05_LIM01_Q;161201;25xvc;Wait Condition;;;000001;0;0
ECOANA_J11INT_05_RCV01_Q;161201;25xv4;Ended OK;20161201220453;20161201220457;000003;0;1
ECOANA_J11INT_05_RCV02_Q;161201;25xv5;Ended OK;20161201220449;20161201220452;000003;0;1
ECOBDE_J11INT_05_00000_Q;161201;25xt4;Ended OK;20161202041501;20161202041501;000001;0;1
ECOBDE_J11INT_05_99999_Q;161201;25xul;Ended OK;20161201222830;20161201222830;000001;0;1
ECOBDE_J11INT_05_DEL01_Q;161201;25xuf;Ended OK;20161202041603;20161202041604;000001;0;1
ECOBDE_J11INT_05_DEL02_Q;161201;25xuh;Ended OK;20161202041559;20161202041601;000002;0;1
ECOBDE_J11INT_05_FLG01_Q;161201;25xuj;Ended OK;20161202041559;20161202041559;000001;0;1
ECOBDE_J11INT_05_HIS01_Q;161201;25xug;Ended OK;20161202041559;20161202041601;000002;0;1
ECOBDE_J11INT_05_HIS02_Q;161201;25xui;Ended OK;20161202041559;20161202041601;000002;0;1
